Nom;Style;Lieu;Adresse;Tel;Mail;Sensei;Liens;Lat;Long;Federation;;;;;;;;
Arts martiaux des Canuts;Shotokaï ;Lyon;Dojo 8 rue Ruplinger, 69004 Lyon;06 08 41 91 45;artsmartiauxdescanuts@gmail.com;"Angelo Massineo 5ème dan ; Yves Benhaim 4ème dan, Daniel Guiot 3ème dan";https://www.artsmartiauxdescanuts.com;45.7809251;4.83757209777832;FAMA;;;;;;;;
Centre Angevin de Karate Do;Shotokaï, Shotokan, Contact;Angers;1 boulevard Daviers, 49 100 Angers;06 75 01 09 94, 06 65 27 44 80;info@cak49.fr;Josée Auboeuf 2ème dan;https://www.cak49.fr/index.php/nos-cours-de-karate/karate-do-shotokai;47.4786411;-0.5567862;FFK;;;;;;;;
Centre Lyonnais des Arts Martiaux;Shotokaï ;Lyon;34 rue de Marietton, 69 009 Lyon;04 78 83 40 24;contact.clamlyon@gmail.com;Bernard Gallice;https://clam-lyon.fr;45.775787353515625;4.80165958404541;KDSE;;;;;;;;
Chartres Union Sportive du Coudray-Section Karate;Shotokaï ;Le Coudray;Rue de la vieille Eglise, 28630 Le Coudray;06 71 96 49 38;leminoux.lolo@hotmail.fr;Noureddine El Barkani 1er dan, Laurette Le Minoux 1er dan;http://kdsecoudray.canalblog.com;48.42043685913086;1.4921621084213257;KDSE;;;;;;;;
Karaté dojo Unionais;Shotokaï ;l'Union;Rue du Puy de Sancy, 31 240 L'Union;06 71 71 41 90;dojo.lunion@gmail.com;Philippe Martinez 5ème dan, Céline Vaguer 2ème dan;https://karate-dojo-unionais.clubeo.com/page/horaires.html;43.65716552734375;1.4901067018508911;FFK;;;;;;;;
Club Murakami;Shotokaï ;Boulogne-Billancourt;Salle 1, 14 rue Paris, 92 100 Boulogne, Salle 2, 14-16 rue Nationale, 92 100 Boulogne-Billancourt;06 08 21 90 70;karate.club.murakami@gmail.com;Gilles Salsarulo, Thierry Bayon;https://karate-shotokai-boulogne.org;48.84117126464844;2.2401394844055176;FEKAMT;;;;;;;;
Nailloux Karaté do;Shotokaï ;Nailloux;2 rue Erik Satie, 31 560 Nailloux;06 85 66 31 84;naillouxkaratedo@gmail.com;Myriam Foltran, Philippe Courchia;http://www.naillouxkarate.fr;43.360682;1.619497;KDSE, FEKAMT;;;;;;;;
Dojo Champagne;Shotokaï ;Champagne;Salle de Motricité, Square de la fontaine, 07 340 Champagne;06 78 36 74 83;;Denis Rebatel;https://www.youtube.com/@yamatokankaratedoshotokaid7258/videos;45.2713737487793;4.799441337585449;Yamato Kan, FAMA, FEKAMT;;;;;;;;
Dojo Cornas;Shotokaï ;Cornas;2 place de la Salle des fêtes de Cornas, 07 130 Cornas;06 08 06 82 60;gilserre@orange.fr;Gil Serre;https://www.youtube.com/@yamatokankaratedoshotokaid7258/videos;44.96152877807617;4.847556114196777;Yamato Kan, FAMA, FEKAMT;;;;;;;;
Dojo de Pelleport;Shotokaï ;Paris;Dojo de l’Est Parisien, 93 rue de Pelleport, 75020 Paris;06 51 69 10 12;shotokai.pelleport@gmail.com;Andoche Kaine 5ème dan, Gilles Domenc 5ème dan, Patrick Avel 5ème dan, Frédéric Rossi 3ème dan;https://shotokai-pelleport.com;48.8682746887207;2.401472330093384;IKDS;;;;;;;;
